subj_id,qual_col,Timing_1,row,Name
R_0cuIBoqJYSnYnLT,Timing_1(2),1.423,2,train
R_9KSFfd62afsuieF,Timing_1(2),2.7319999999999998,2,train
R_02GRIQd5MDRenPf,Timing_1(2),3.245,2,train
R_bjv98vU4STp6zQx,Timing_1(2),4.315,2,train
R_9KB1XzOy6rP7O1D,Timing_1(2),3.739,2,train
R_eX2Q9p9ZqgsYVLv,Timing_1(2),2.419,2,train
R_eDMsuefXH4Nvbhz,Timing_1(2),,2,train
R_cGTSCS88UP99f0x,Timing_1(2),,2,train
R_6ujqTETwTzRExX7,Timing_1(2),1.785,2,train
R_1NfgfYV1GvFsWiN,Timing_1(2),,2,train
R_0TiNGME0OVqJO3H,Timing_1(2),,2,train
R_0ih7r0MXsn7mCSV,Timing_1(2),1.825,2,train
R_aWcEn0nidpymQER,Timing_1(2),2.569,2,train
R_9FZPEV6r7ezLOSN,Timing_1(2),3.6010000000000004,2,train
R_6zhc96D1g2EpM2h,Timing_1(2),2.22,2,train
R_2a6HPCAFPrB4mIR,Timing_1(2),,2,train
R_8nQqGUmR9MT1CTP,Timing_1(3),7.117999999999999,3,balloon
R_0NWkLPKVngfskaV,Timing_1(3),2.134,3,balloon
R_2tvsWbcRX5R84ap,Timing_1(3),5.797999999999999,3,balloon
R_1TCKelAGYh94Ppr,Timing_1(3),,3,balloon
R_5uoQgdmI1psnW97,Timing_1(3),,3,balloon
R_2aVo1rAUKgNJ8VL,Timing_1(3),38.056,3,balloon
R_03dyKKqahwimd1z,Timing_1(3),4.485,3,balloon
R_4I5pqYdhVgOKFKd,Timing_1(3),9.683,3,balloon
R_1EWCq1k7UFauhNj,Timing_1(3),1.83,3,balloon
R_81xh6ldt0VxOPHL,Timing_1(3),3.199,3,balloon
R_9KLkobZ9kYZSzYh,Timing_1(3),2.146,3,balloon
R_4T9SzDwjzOtlmrX,Timing_1(3),4.863,3,balloon
R_eFBfDt4acLjjVQh,Timing_1(3),10.179,3,balloon
